Rosalind_3814 Rosalind_5696
Rosalind_9746 Rosalind_7145
Rosalind_1212 Rosalind_5889
Rosalind_1212 Rosalind_1360
Rosalind_9801 Rosalind_5889
Rosalind_9801 Rosalind_1360
Rosalind_0967 Rosalind_5889
Rosalind_0967 Rosalind_1360
Rosalind_3353 Rosalind_7640
Rosalind_3596 Rosalind_7640
Rosalind_9968 Rosalind_0153
Rosalind_9968 Rosalind_1843
Rosalind_8420 Rosalind_0153
Rosalind_8420 Rosalind_1843
Rosalind_0153 Rosalind_6091
Rosalind_6852 Rosalind_6091
Rosalind_6810 Rosalind_7920
Rosalind_6810 Rosalind_7024
Rosalind_7904 Rosalind_7920
Rosalind_7904 Rosalind_7024
Rosalind_0786 Rosalind_3353
Rosalind_1923 Rosalind_3353
Rosalind_1427 Rosalind_6852
Rosalind_0942 Rosalind_6852
Rosalind_6978 Rosalind_4604
Rosalind_6978 Rosalind_9714
Rosalind_6978 Rosalind_8561
Rosalind_6978 Rosalind_8375
Rosalind_1852 Rosalind_3293
Rosalind_4963 Rosalind_3615
Rosalind_3293 Rosalind_0942
Rosalind_3293 Rosalind_7845
Rosalind_1432 Rosalind_0942
Rosalind_1432 Rosalind_7845
Rosalind_1843 Rosalind_0942
Rosalind_1843 Rosalind_7845
Rosalind_5047 Rosalind_7638
Rosalind_5047 Rosalind_8914
Rosalind_5938 Rosalind_7638
Rosalind_5938 Rosalind_8914
Rosalind_6140 Rosalind_7638
Rosalind_6140 Rosalind_8914
Rosalind_3141 Rosalind_5787
Rosalind_3141 Rosalind_2393
Rosalind_7845 Rosalind_8664
Rosalind_7845 Rosalind_9587
Rosalind_0685 Rosalind_8664
Rosalind_0685 Rosalind_9587
Rosalind_1366 Rosalind_8664
Rosalind_1366 Rosalind_9587
Rosalind_7303 Rosalind_9127
Rosalind_7683 Rosalind_9127
Rosalind_9714 Rosalind_0706
Rosalind_9714 Rosalind_9188
Rosalind_9714 Rosalind_7683
Rosalind_9714 Rosalind_1533
Rosalind_2481 Rosalind_0706
Rosalind_2481 Rosalind_9188
Rosalind_2481 Rosalind_7683
Rosalind_2481 Rosalind_1533
Rosalind_8743 Rosalind_3596
Rosalind_8743 Rosalind_4590
Rosalind_9720 Rosalind_3596
Rosalind_9720 Rosalind_4590
Rosalind_8664 Rosalind_0967
Rosalind_9001 Rosalind_6810
Rosalind_9001 Rosalind_2954
Rosalind_9001 Rosalind_7419
Rosalind_3318 Rosalind_6810
Rosalind_3318 Rosalind_2954
Rosalind_3318 Rosalind_7419
Rosalind_2693 Rosalind_5938
Rosalind_9404 Rosalind_5938
Rosalind_8558 Rosalind_5938
Rosalind_5814 Rosalind_0216
Rosalind_8603 Rosalind_0316
Rosalind_8603 Rosalind_6602
Rosalind_7858 Rosalind_0316
Rosalind_7858 Rosalind_6602
Rosalind_2732 Rosalind_4963
Rosalind_2732 Rosalind_4749
Rosalind_0316 Rosalind_9968
Rosalind_0316 Rosalind_7303
Rosalind_0316 Rosalind_8420
Rosalind_0316 Rosalind_3318
Rosalind_6091 Rosalind_9968
Rosalind_6091 Rosalind_7303
Rosalind_6091 Rosalind_8420
Rosalind_6091 Rosalind_3318
Rosalind_6125 Rosalind_9670
Rosalind_4749 Rosalind_9670
Rosalind_7024 Rosalind_9670
Rosalind_8359 Rosalind_0685
Rosalind_5579 Rosalind_0685
Rosalind_2549 Rosalind_0685
Rosalind_9188 Rosalind_5529
Rosalind_9188 Rosalind_1923
Rosalind_9188 Rosalind_6985
Rosalind_9188 Rosalind_7833
Rosalind_3109 Rosalind_8743
Rosalind_4131 Rosalind_8743
Rosalind_7145 Rosalind_8743
Rosalind_5889 Rosalind_0170
Rosalind_0218 Rosalind_0170
Rosalind_9670 Rosalind_6125
Rosalind_9670 Rosalind_5814
Rosalind_0170 Rosalind_6125
Rosalind_0170 Rosalind_5814
Rosalind_8561 Rosalind_6125
Rosalind_8561 Rosalind_5814
Rosalind_1360 Rosalind_6125
Rosalind_1360 Rosalind_5814
Rosalind_1812 Rosalind_0786
Rosalind_1812 Rosalind_9001
Rosalind_7455 Rosalind_0786
Rosalind_7455 Rosalind_9001
Rosalind_7225 Rosalind_7455
Rosalind_7225 Rosalind_2481
Rosalind_7225 Rosalind_5047
Rosalind_7215 Rosalind_7455
Rosalind_7215 Rosalind_2481
Rosalind_7215 Rosalind_5047
Rosalind_7499 Rosalind_7455
Rosalind_7499 Rosalind_2481
Rosalind_7499 Rosalind_5047
Rosalind_7976 Rosalind_7099
Rosalind_5696 Rosalind_7099
Rosalind_0760 Rosalind_7225
Rosalind_3165 Rosalind_0760
Rosalind_3165 Rosalind_7225
Rosalind_9127 Rosalind_1212
Rosalind_9127 Rosalind_8289
Rosalind_9127 Rosalind_7215
Rosalind_5981 Rosalind_1212
Rosalind_5981 Rosalind_8289
Rosalind_5981 Rosalind_7215
Rosalind_5529 Rosalind_1812
Rosalind_5529 Rosalind_1852
Rosalind_5529 Rosalind_4131
Rosalind_4604 Rosalind_1812
Rosalind_4604 Rosalind_1852
Rosalind_4604 Rosalind_4131
Rosalind_7419 Rosalind_1812
Rosalind_7419 Rosalind_1852
Rosalind_7419 Rosalind_4131
Rosalind_9587 Rosalind_7499
Rosalind_7833 Rosalind_7499
Rosalind_7920 Rosalind_5981
Rosalind_3140 Rosalind_5579
Rosalind_3140 Rosalind_0218
Rosalind_7099 Rosalind_5579
Rosalind_7099 Rosalind_0218
Rosalind_3615 Rosalind_3140
Rosalind_0706 Rosalind_1427
Rosalind_2954 Rosalind_1427
